surah_num,ayah_num,ayah_txt,clean_txt,surah_name
1,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,بسم الله الرحمن الرحيم سم الله رحمن رحيم,الفاتحة
1,2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,الحمد لله العالمين حمد له عالم,الفاتحة
1,3,الرَّحْمَٰنِ الرَّحِيمِ,الرحمن الرحيم رحمن رحيم,الفاتحة
1,4,مَالِكِ يَوْمِ الدِّينِ,مالك يوم الدين مال يوم دين,الفاتحة
1,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,نعبد نستعين عبد استعان,الفاتحة
1,6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,اهدنا الصراط المستقيم هدن صراط مستقيم,الفاتحة
1,7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,صراط انعمت المغضوب الضالين صراط انعمت مغضوب ضال,الفاتحة
2,1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم,بسم الله الرحمن الرحيم سم الله رحمن رحيم,البقرة
2,2,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِلْمُتَّقِينَ,الكتاب ريب   هدي للمتقين كتاب ريب   هدي للمتقين,البقرة
2,3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَ,يؤمنون بالغيب ويقيمون الصلاه رزقناهم ينفقون أمن غيب أقام الصلاه رزق نفق,البقرة
2,4,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنْزِلَ إِلَيْكَ وَمَا أُنْزِلَ مِنْ قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,يؤمنون انزل انزل قبلك وبالاخره يوقنون أمن نزل نزل قبل وبالاخره أيقن,البقرة
2,5,أُولَٰئِكَ عَلَىٰ هُدًى مِنْ رَبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,هدي ربهم  المفلحون هدي رب  مفلح,البقرة
2,6,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنْذَرْتَهُمْ أَمْ لَمْ تُنْذِرْهُمْ لَا يُؤْمِنُونَ,كفروا سواء اانذرتهم تنذرهم يؤمنون كفر سواء اانذرتهم أنذر أمن,البقرة
2,7,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,ختم الله قلوبهم سمعهم  ابصارهم غشاوه  عذاب عظيم ختم الله قلوب سمع  ابصارهم غشا  عذاب عظيم,البقرة
2,8,وَمِنَ النَّاسِ مَنْ يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُمْ بِمُؤْمِنِينَ,الناس يقول امنا بالله وباليوم الاخر بمؤمنين ناس أقول امنا الله يوم الاخر مؤمن,البقرة
2,9,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنْفُسَهُمْ وَمَا يَشْعُرُونَ,يخادعون الله امنوا يخدعون يشعرون خادع الله منا أخدع شعر,البقرة
2,10,فِي قُلُوبِهِمْ مَرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,قلوبهم مرض فزادهم الله مرضا  عذاب اليم كانوا يكذبون قلوب مرض زاد الله مرض  عذاب يم كانو كذب,البقرة
2,11,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,قيل تفسدوا الارض قالوا مصلحون قال فسد الارض قال مصلح,البقرة
2,12,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِنْ لَا يَشْعُرُونَ,المفسدون يشعرون مفسد شعر,البقرة
2,13,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِنْ لَا يَعْلَمُونَ,قيل امنوا الناس قالوا انؤمن السفهاء  السفهاء يعلمون قال منا ناس قال انؤمن سفهاء  سفهاء علم,البقرة
2,14,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,لقوا امنوا قالوا امنا خلوا شياطينهم قالوا مستهزئون لق منا قال امنا خلو شياطين قال مستهزئ,البقرة
2,15,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,الله يستهزئ ويمدهم طغيانهم يعمهون الله استهزأ أمد طغيان عمه,البقرة
2,16,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَتْ تِجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,اشتروا الضلاله بالهدي ربحت تجارتهم كانوا مهتدين شتر الضلاله هدي ربح تجار كانو مهتدي,البقرة
2,17,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَا يُبْصِرُونَ,استوقد نارا اضاءت الله بنورهم وتركهم ظلمات يبصرون استوقد نار اضاءت الله نور ترك ظلم بصر,البقرة
2,18,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,صم عمي يرجعون صم عمي رجع,البقرة
2,19,أَوْ كَصَيِّبٍ مِنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِمْ مِنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,كصيب السماء ظلمات ورعد وبرق يجعلون اصابعهم اذانهم الصواعق حذر الموت  والله محيط بالكافرين كصيب سماء ظلم رعد رق جعل اصابعهم اذانهم صواعق حذر موت  الله محيط كافر,البقرة
2,20,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُمْ مَشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,يكاد البرق يخطف ابصارهم  اضاء مشوا اظلم قاموا  شاء الله لذهب بسمعهم وابصارهم  الله شيء قدير كاد برق خطف ابصارهم  اضاء مشى ظلم قام  شاء الله ذهب سمع وابصارهم  الله شيء قدير,البقرة
2,21,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِنْ قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,الناس اعبدوا ربكم خلقكم قبلكم تتقون ناس عبد رب خلق قبل اتقى,البقرة
2,22,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنْزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَنْدَادًا وَأَنْتُمْ تَعْلَمُونَ,الارض فراشا والسماء بناء وانزل السماء ماء فاخرج الثمرات رزقا  تجعلوا لله اندادا تعلمون الارض فراش سماء بناء نزل سماء ماء خرج ثمرة رزق  جعل له اندادا علم,البقرة
2,23,وَإِنْ كُنْتُمْ فِي رَيْبٍ مِمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِنْ مِثْلِهِ وَادْعُوا شُهَدَاءَكُمْ مِنْ دُونِ اللَّهِ إِنْ كُنْتُمْ صَادِقِينَ,كنتم ريب نزلنا عبدنا فاتوا بسوره وادعوا شهداءكم الله كنتم صادقين كنتم ريب نزل عبد فات سور ادعى شهداء الله كنتم صادق,البقرة
2,24,فَإِنْ لَمْ تَفْعَلُوا وَلَنْ تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ,تفعلوا تفعلوا فاتقوا النار وقودها الناس والحجاره  اعدت للكافرين فعل فعل اتقى نار وقود ناس والحجاره  اعدت كافر,البقرة
2,25,وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِنْ ثَمَرَةٍ رِزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِنْ قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ,وبشر امنوا وعملوا الصالحات جنات تجري الانهار  رزقوا ثمره رزقا  قالوا رزقنا  واتوا متشابها  ازواج مطهره  خالدون بشر منا عمل صالح جن تجرة انهار  رزق ثمر رزق  قال رزق  واتوا متشابه  ازواج مطهر  خالد,البقرة
2,26,إِنَّ اللَّهَ لَا يَسْتَحْيِي أَنْ يَضْرِبَ مَثَلًا مَا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِنْ رَبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,الله يستحيي يضرب مثلا بعوضه  امنوا فيعلمون الحق ربهم  كفروا فيقولون اراد الله مثلا  يضل ويهدي  يضل الفاسقين الله استحيا ضرب مثل بعوض  منا علم حق رب  كفر أقول اراد الله مثل  أضل هدى  أضل فاسق,البقرة
2,27,الَّذِينَ يَنْقُضُونَ عَهْدَ اللَّهِ مِنْ بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَنْ يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ,ينقضون عهد الله ميثاقه ويقطعون امر الله يوصل ويفسدون الارض  الخاسرون نقض عهد الله ميثاق قطع مرى الله وصل فسد الارض  خاسر,البقرة
